course_name|url|level|description
How to Make an iOS App|https://www.udacity.com/course/how-to-make-an-ios-app--ud607|Advanced|Learn the process of building an app, taking your ideas from drawing board to App Store!
GitHub & Collaboration|https://www.udacity.com/course/github-collaboration--ud456|Beginner|Learn how to interact with remote repositories and collaborate with other developers on GitHub.
Introduction to Python|https://www.udacity.com/course/introduction-to-python--ud1110|Beginner|Python is one of the most popular programming languages in the world. If you already know another language and want to expand to Python, this is the course for you!
Database Systems Concepts & Design|https://www.udacity.com/course/database-systems-concepts-design--ud150|Intermediate|This course presents an example of applying a database application development methodology to a major real-world project.
Compilers: Theory and Practice|https://www.udacity.com/course/compilers-theory-and-practice--ud168|Intermediate|This course teaches the theory and practice behind building compilers for higher level programming languages.
Embedded Systems|https://www.udacity.com/course/embedded-systems--ud169|Intermediate|This course takes a holistic view of the embedded system stack focusing on processor architectures, instruction sets, and the associated advanced compiler optimizations.
Network Security|https://www.udacity.com/course/network-security--ud199|Intermediate|This course provides an introduction to computer and network security, including cryptography, cryptanalysis, and systems security.
Cyber-Physical Systems Security|https://www.udacity.com/course/cyber-physical-systems-security--ud279|Intermediate|This course provides an introduction to security issues relating to cyber-physical systems including industrial control systems and critical infrastructures.
Software Analysis & Testing|https://www.udacity.com/course/software-analysis-testing--ud333|Intermediate|This course covers the theory and practice of software analysis, which is at the heart of software development processes such as diagnosing bugs, testing, and debugging.
Human-Computer Interaction|https://www.udacity.com/course/human-computer-interaction--ud400|Intermediate|This course is an introductory course on human-computer interaction, covering the principles, techniques, and open areas of development in HCI.
Data Analysis and Visualization|https://www.udacity.com/course/data-analysis-and-visualization--ud404|Intermediate|This course will introduce students to the field by covering state­-of-­the-art modeling, analysis and visualization techniques.
Artificial Intelligence|https://www.udacity.com/course/artificial-intelligence--ud954|Intermediate|This course gives a survey of topics in AI along with in-depth foundational concepts such as classical search, probability, machine learning, logic and planning.
ES6 - JavaScript Improved|https://www.udacity.com/course/es6-javascript-improved--ud356|Advanced|Learn about the changes made to the JavaScript programming language in ECMAScript 6 and how to use these new improvements to write better cleaner code.
Xcode Debugging|https://www.udacity.com/course/xcode-debugging--ud774|Advanced|In this course, you'll learn standard methodologies for debugging software, and how to use Xcode's debugging tools to find and squash bugs.
A/B Testing|https://www.udacity.com/course/ab-testing--ud257|Intermediate|Design and implement an A/B test to determine the efficacy of potential improvements to an online site or mobile app while specifying metrics to measure.
Data Visualization and D3.js|https://www.udacity.com/course/data-visualization-and-d3js--ud507|Intermediate|Learn the fundamentals of data visualization and apply design and narrative concepts to create your own visualization.
Intro to Machine Learning|https://www.udacity.com/course/intro-to-machine-learning--ud120|Intermediate|This class will teach you the end-to-end process of investigating data through a machine learning lens, and you'll apply what you've learned to a real-world data set.
Intro to Hadoop and MapReduce|https://www.udacity.com/course/intro-to-hadoop-and-mapreduce--ud617|Intermediate|In this short course, learn the fundamentals of MapReduce and Apache Hadoop to start making sense of Big Data in the real world!
Real-Time Analytics with Apache Storm|https://www.udacity.com/course/real-time-analytics-with-apache-storm--ud381|Intermediate|The world is trending in real time! Learn Apache Storm, taught by Twitter, to scalably analyze real-time tweets and drive d3 visualizations. Storm is free, open and fun!
Intro to Data Analysis|https://www.udacity.com/course/intro-to-data-analysis--ud170|Beginner|Explore a variety of datasets, posing and answering your own questions about each. You'll be using the Python libraries NumPy, Pandas, and Matplotlib.
Intro to Data Science|https://www.udacity.com/course/intro-to-data-science--ud359|Intermediate|What does a data scientist do? In this course, we will survey the main topics in data science so you can understand the skills that are needed to become a data scientist!
Object-Oriented JavaScript|https://www.udacity.com/course/object-oriented-javascript--ud015|Intermediate|Build a variety of JavaScript objects and explore how their inheritance models affect your app's in-memory model. Gain simplicity and modularity in your own code.
HTML5 Canvas|https://www.udacity.com/course/html5-canvas--ud292|Beginner|Learn how you can use HTML5 Canvas to create and modify images or even interactive animations.
